,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
768,FB-PF-410a.2a,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
769,FB-PF-430a.1a,"Percentage of food ingredients sourced that are certified to third-party environmental and/or social standards, by certification scheme"
770,FB-PF-430a.2a,Suppliers’ social and environmental responsibility audit non-conformance for major non-conformances
771,FB-PF-430a.2b,Suppliers’ social and environmental responsibility audit non-conformance for minor non-conformances
772,FB-PF-430a.2c,Suppliers' social and environmental responsibility audit associated corrective action rate for major non-conformances
773,FB-PF-430a.2d,Suppliers' social and environmental responsibility audit associated corrective action rate for minor non-conformances
774,FB-PF-440a.1a,Percentage of food ingredients sourced from regions with High or Extremely High Baseline Water Stress
775,FB-PF-440a.2a,List of priority food ingredients and discussion of sourcing risks due to environmental and social considerations
776,FB-RN-000.Aa,Number of (1) company-owned and (2) franchise restaurants
777,FB-RN-000.Ba,Number of employees at company-owned locations
778,FB-RN-000.Bb,Number of employees at franchise locations
779,FB-RN-130a.1a,Total energy consumed
780,FB-RN-130a.1b,Percentage of total energy consumed that is grid electricity
781,FB-RN-130a.1c,Percentage of total energy consumed that is renewable
782,FB-RN-140a.1a,Total water withdrawn
783,FB-RN-140a.1b,Total water consumed
784,FB-RN-140a.1c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
785,FB-RN-140a.1d,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
786,FB-RN-150a.1a,Total amount of waste
787,FB-RN-150a.1b,Percentage of waste that is food waste
788,FB-RN-150a.1c,Percentage of waste that is diverted
789,FB-RN-150a.2a,Total weight of packaging
790,FB-RN-150a.2b,Percentage of packaging made from recycled and/or renewable materials
791,FB-RN-150a.2c,"Percentage of packaging that is recyclable, reusable, and/or compostable"
792,FB-RN-250a.1a,Percentage of restaurants inspected by a food safety oversight body
793,FB-RN-250a.1b,Percentage of restaurants inspected by a food safety oversight body receiving critical violation
794,FB-RN-250a.2a,Number of recalls
795,FB-RN-250a.2b,Total amount of food product recalled
796,FB-RN-250a.2c,Disclosure shall include a description of notable recalls and corrective actions implemented in response to events
797,FB-RN-250a.3a,Number of confirmed foodborne illness outbreaks
798,FB-RN-250a.3b,Percentage of confirmed foodborne illness outbreaks resulting in U.S. CDC investigation
799,FB-RN-250a.3c,Disclosure shall include a description of foodborne illness outbreaks that were investigated by the U.S. CDC and corrective actions implemented in response to events
800,FB-RN-260a.1a,Percentage of meal options consistent with national dietary guidelines
801,FB-RN-260a.1b,Revenue from meal options consistent with national dietary guidelines
802,FB-RN-260a.2a,Percentage of children’s meal options consistent with national dietary guidelines for children or foreign equivalent
803,FB-RN-260a.2b,Revenue from children’s meal options consistent with national dietary guidelines for children or foreign equivalent
804,FB-RN-260a.3a,Number of advertising impressions made on children
805,FB-RN-260a.3b,Percentage of advertising impressions made on children promoting products that meet national dietary guidelines for children
806,FB-RN-310a.1a,Voluntary employee turnover rate for restaurant employees
807,FB-RN-310a.1b,Involuntary employee turnover rate for restaurant employees
808,FB-RN-310a.2a,"Average hourly wage, by region"
809,FB-RN-310a.2b,Percentage of restaurant employees earning minimum wage
810,FB-RN-310a.3a,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
811,FB-RN-310a.3b,Total amount of monetary losses as a result of legal proceedings associated with employment discrimination
812,FB-RN-310a.3c,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
813,FB-RN-430a.1a,Percentage of food purchased that meets environmental and social sourcing standards
814,FB-RN-430a.1b,Percentage of food purchased that is certified to third-party environmental and/or social standards
815,FB-RN-430a.2a,Percentage of eggs that originated from a cage-free environment
816,FB-RN-430a.2b,Percentage of pork that was produced without the use of gestation crate
817,FB-RN-430a.3a,"Discussion of strategy to manage environmental and social risks within the supply chain, including animal welfare"
818,FB-TB-000.Aa,Cigarette sales volume
819,FB-TB-000.Ab,"Cigar sales volume, including cigars, cigarillos, and little cigars"
820,FB-TB-000.Ac,"Other smoked tobacco sales volume, including pipe tobacco, loose leaf tobacco, bidis, and kreteks or clove cigarettes"
821,FB-TB-000.Ba,Non-combustible product sales volume for traditional smokeless tobacco
822,FB-TB-000.Bb,Non-combustible product sales volume for non-tobacco nicotine products
823,FB-TB-000.Bc,Non-combustible product sales volume for heated tobacco products
824,FB-TB-000.Bd,Non-combustible product sales volume for nicotine replacement therapy products
825,FB-TB-260a.1a,Gross revenue from non-tobacco nicotine products
826,FB-TB-260a.1b,Gross revenue from heated tobacco products
827,FB-TB-260a.1c,Revenue net of excise taxes from non-tobacco nicotine products
828,FB-TB-260a.1d,Revenue net of excise taxes from heated tobacco products
829,FB-TB-260a.2a,"Description of the process to assess risks and opportunities associated with ""tobacco harm reduction"" products"
830,FB-TB-270a.1a,"Total amount of monetary losses as a result of legal proceedings associated with marketing, labeling, and/or advertising practices"
831,FB-TB-270a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
832,FB-TB-270a.2a,Description of the company’s marketing policy and relevant positions on Article 11 of the World Health Organization Framework Convention on Tobacco Control (WHO FCTC)
833,FN-AC-000.Aa,Total registered assets under management (AUM)
834,FN-AC-000.Ab,Total unregistered assets under management (AUM)
835,FN-AC-000.Ba,Total assets under custody and supervision
836,FN-AC-270a.1a,"Number of covered employees with a record of investment-related investigations, consumer-initiated complaints, private civil litigations, or other regulatory proceedings"
837,FN-AC-270a.1b,"Percentage of covered employees with a record of investment-related investigations, consumer-initiated complaints, private civil litigations, or other regulatory proceedings"
838,FN-AC-270a.1c,The entity shall describe how it ensures that covered employees file and update FINRA and SEC forms in a timely manner.
839,FN-AC-270a.2a,Total amount of monetary losses as a result of legal proceedings associated with marketing and communication of financial product-related information to new and returning customers
840,FN-AC-270a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
841,FN-AC-270a.3a,Description of approach to informing customers about products and services
842,FN-AC-330a.1a,Percentage of executive management who are male
843,FN-AC-330a.1aa,Percentage of professionals for U.S. operations who are Asian
844,FN-AC-330a.1b,Percentage of non-executive management who are male
845,FN-AC-330a.1bb,Percentage of all other employees for U.S. operations who are Asian
846,FN-AC-330a.1c,Percentage of professionals who are male
847,FN-AC-330a.1cc,"Percentage of executive management for U.S. operations who are American Indian, Native Hawaiian or other Pacific Islander and ""two or more races"" classification"
848,FN-AC-330a.1d,Percentage of all other employees who are male
849,FN-AC-330a.1dd,"Percentage of non-executive management for U.S. operations who are American Indian, Native Hawaiian or other Pacific Islander and ""two or more races"" classification"
850,FN-AC-330a.1e,Percentage of executive management who are female
851,FN-AC-330a.1ee,"Percentage of professionals for U.S. operations who are American Indian, Native Hawaiian or other Pacific Islander and ""two or more races"" classification"
852,FN-AC-330a.1f,Percentage of non-executive management who are female
853,FN-AC-330a.1ff,"Percentage of all other employees for U.S. operations who are American Indian, Native Hawaiian or other Pacific Islander and ""two or more races"" classification"
854,FN-AC-330a.1g,Percentage of professionals who are female
855,FN-AC-330a.1gg,Percentage of executive management for U.S. operations whose race and ethnicity is not available/not disclosed
856,FN-AC-330a.1h,Percentage of all other employees who are female
857,FN-AC-330a.1hh,Percentage of non-executive management for U.S. operations whose race and ethnicity is not available/not disclosed
858,FN-AC-330a.1i,Percentage of executive management whose gender is not available/not disclosed
859,FN-AC-330a.1ii,Percentage of professionals for U.S. operations whose race and ethnicity is not available/not disclosed
860,FN-AC-330a.1j,Percentage of non-executive management whose gender is not available/not disclosed
861,FN-AC-330a.1jj,Percentage of all other employees for U.S. operations whose race and ethnicity is not available/not disclosed
862,FN-AC-330a.1k,Percentage of professionals whose gender is not available/not disclosed
863,FN-AC-330a.1kk,The entity shall describe its policies and programs for fostering equitable employee representation across its global operations.
864,FN-AC-330a.1l,Percentage of all other employees whose gender is not available/not disclosed
865,FN-AC-330a.1m,Percentage of executive management for U.S. operations who are White
866,FN-AC-330a.1n,Percentage of non-executive management for U.S. operations who are White
867,FN-AC-330a.1o,Percentage of professionals for U.S. operations who are White
868,FN-AC-330a.1p,Percentage of all other employees for U.S. operations who are White
869,FN-AC-330a.1q,Percentage of executive management for U.S. operations who are Black or African American
870,FN-AC-330a.1r,Percentage of non-executive management for U.S. operations who are Black or African American
871,FN-AC-330a.1s,Percentage of professionals for U.S. operations who are Black or African American
872,FN-AC-330a.1t,Percentage of all other employees for U.S. operations who are Black or African American
873,FN-AC-330a.1u,Percentage of executive management for U.S. operations who are Hispanic or Latino
874,FN-AC-330a.1v,Percentage of non-executive management for U.S. operations who are Hispanic or Latino
875,FN-AC-330a.1w,Percentage of professionals for U.S. operations who are Hispanic or Latino
876,FN-AC-330a.1x,Percentage of all other employees for U.S. operations who are Hispanic or Latino
877,FN-AC-330a.1y,Percentage of executive management for U.S. operations who are Asian
878,FN-AC-330a.1z,Percentage of non-executive management for U.S. operations who are Asian
879,FN-AC-410a.1a,"Percentage of assets under management, by asset class, that employ integration of environmental, social, and governance (ESG) factors"
880,FN-AC-410a.1b,"Percentage of assets under management, by asset class, that employ sustainability themed investing"
881,FN-AC-410a.1c,"Percentage of assets under management, by asset class, that employ screening (exclusionary, positive/best-in-class, or norms-based)"
882,FN-AC-410a.2a,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment and/or wealth management processes and strategies"
883,FN-AC-410a.3a,Description of proxy voting and investee engagement policies and procedures
884,FN-AC-510a.1a,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
885,FN-AC-510a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
886,FN-AC-510a.2a,Description of whistleblower policies and procedures
887,FN-AC-550a.1a,Percentage of open-end fund assets under management (AUM) which are highly liquid investments
888,FN-AC-550a.1b,Percentage of open-end fund assets under management (AUM) which are moderately liquid investments
889,FN-AC-550a.1c,Percentage of open-end fund assets under management (AUM) which are less liquid investments
890,FN-AC-550a.1d,Percentage of open-end fund assets under management (AUM) which are illiquid investments
891,FN-AC-550a.2a,Description of approach to incorporation of liquidity risk management programs into portfolio strategy and redemption risk management
892,FN-AC-550a.3a,Total exposure to securities financing transactions
893,FN-AC-550a.4a,Net exposure to written credit derivatives
894,FN-CB-000.Aa,Number of personal checking and saving accounts
895,FN-CB-000.Ab,Value of personal checking and saving accounts
896,FN-CB-000.Ac,Number of small business checking and saving accounts
897,FN-CB-000.Ad,Value of small business checking and saving accounts
898,FN-CB-000.Ba,Number of personal loans
899,FN-CB-000.Bb,Value of personal loans
900,FN-CB-000.Bc,Number of small business loans
901,FN-CB-000.Bd,Value of small business loans
902,FN-CB-000.Be,Number of corporate loans
903,FN-CB-000.Bf,Value of corporate loans
904,FN-CB-230a.1a,Number of data breaches
905,FN-CB-230a.1b,Percentage of data breaches involving personally identifiable information (PII)
906,FN-CB-230a.1c,Number of account holders affected by data breaches
907,FN-CB-230a.1d,Disclosure shall include a description of corrective actions implemented in response to data security breaches
908,FN-CB-230a.2a,Discussion of approach to identifying and addressing data security risks
909,FN-CB-240a.1a,Number of loans outstanding qualified to programs designed to promote small business and community development
910,FN-CB-240a.1b,Amount of loans outstanding qualified to programs designed to promote small business and community development
911,FN-CB-240a.1c,Disclosure shall include a description of how the entity’s results of the Community Reinvestment Act (CRA) Examinations are integrated into its financial inclusion and capacity building strategy
912,FN-CB-240a.2a,Number of past due and nonaccrual loans qualified to programs designed to promote small business and community development
913,FN-CB-240a.2b,Amount of past due and nonaccrual loans qualified to programs designed to promote small business and community development
914,FN-CB-240a.3a,Number of no-cost retail checking accounts provided to previously unbanked or underbanked customers
915,FN-CB-240a.4a,"Number of participants in financial literacy initiatives for unbanked, underbanked, or underserved customers"
916,FN-CB-240a.4b,Disclosure shall include a description of financial literacy initiatives
917,FN-CB-410a.1a,Commercial and industrial credit exposure by industry
918,FN-CB-410a.2a,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in credit analysis"
919,FN-CB-510a.1a,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
920,FN-CB-510a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
921,FN-CB-510a.2a,Description of whistleblower policies and procedures
922,FN-CB-550a.1a,Global Systemically Important Bank (G-SIB) score for the following category: (1) Size
923,FN-CB-550a.1b,Global Systemically Important Bank (G-SIB) score for the following category: (2) Cross-jurisdictional activity
924,FN-CB-550a.1c,Global Systemically Important Bank (G-SIB) score for the following category: (3) Interconnectedness
925,FN-CB-550a.1d,Global Systemically Important Bank (G-SIB) score for the following category: (4) Substitutability
926,FN-CB-550a.1e,Global Systemically Important Bank (G-SIB) score for the following category: (5) Complexity
927,FN-CB-550a.1f,Global Systemically Important Bank (G-SIB) score for the following category: (6) Overall score
928,FN-CB-550a.1g,The entity shall describe whether the Global Systemically Important Bank (G-SIB) score is calculated by the entity or obtained from the regulatory authorities and whether the entity is required to report the underlying data to the regulators.
929,FN-CB-550a.2a,"Description of approach to incorporation of results of mandatory and voluntary stress tests into capital adequacy planning, long-term corporate strategy, and other business activities"
930,FN-CF-000.Aa,Number of unique consumers with an active credit card account
931,FN-CF-000.Ab,Number of unique consumers with a pre-paid debit card account
932,FN-CF-000.Ac,Number of customers whose personally identifiable information (PII) the entity collects
933,FN-CF-000.Ba,Number of credit card accounts
934,FN-CF-000.Bb,Number of pre-paid debit card accounts
935,FN-CF-220a.1a,Number of account holders whose information is used for secondary purposes
936,FN-CF-220a.1b,Percentage of account holders whose information is being used for secondary purposes who have opted in
937,FN-CF-220a.1c,"The entity shall describe its policies and practices regarding the manner in which it discloses the use of customer data for third party use to customers, including the nature of its opt-in policy"
938,FN-CF-220a.2a,Total amount of losses as a result of legal proceedings associated with customer privacy
939,FN-CF-220a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
940,FN-CF-230a.1a,Number of data breaches
941,FN-CF-230a.1b,Percentage of data breaches involving personally identifiable information (PII)
942,FN-CF-230a.1c,Number of account holders affected
943,FN-CF-230a.1d,Disclosure shall include a description of corrective actions implemented in response to data security breaches or threats.
944,FN-CF-230a.2a,Card-related fraud losses from card-not-present fraud
945,FN-CF-230a.2b,Card-related fraud losses from card-present and other fraud
946,FN-CF-230a.3a,Description of approach to identifying and addressing data security risks
947,FN-CF-270a.1a,Percentage of remuneration for covered employees that is variable and linked to the amount of products and services sold
948,FN-CF-270a.1b,"The entity shall describe remuneration policies for covered employees, including the link to products sold, process for setting sale targets, and benefits/penalties associated with meeting/missing the targets."
949,FN-CF-270a.2a,Approval rate for credit products for applicants with FICO scores above 660
950,FN-CF-270a.2b,Approval rate for credit products for applicants with FICO scores below or equal to 660
951,FN-CF-270a.2c,Approval rate for pre-paid products for applicants with FICO scores above 660
952,FN-CF-270a.2d,Approval rate for pre-paid products for applicants with FICO scores below or equal to 660
953,FN-CF-270a.2e,The entity shall discuss the strategy for minimizing the number of past due and nonaccrual loans in its portfolio.
954,FN-CF-270a.3a,Average fees from add-on products for customers with FICO scores above 660
955,FN-CF-270a.3b,Average fees from add-on products for customers with FICO scores below or equal to 660
956,FN-CF-270a.3c,Average APR for customers with FICO scores above 660
957,FN-CF-270a.3d,Average APR for customers with FICO scores below or equal to 660
958,FN-CF-270a.3e,Average age of accounts for customers with FICO scores above 660
959,FN-CF-270a.3f,Average age of accounts for customers with FICO scores below or equal to 660
960,FN-CF-270a.3g,Average number of trade lines for customers with FICO scores above 660
961,FN-CF-270a.3h,Average number of trade lines for customers with FICO scores below or equal to 660
962,FN-CF-270a.3i,Average annual fees for customers with FICO scores above 660
963,FN-CF-270a.3j,Average annual fees for customers with FICO scores below or equal to 660
964,FN-CF-270a.4a,Number of complaints filed with the CFPB
965,FN-CF-270a.4b,Percentage of complaints with monetary or non-monetary relief
966,FN-CF-270a.4c,Percentage of complaints disputed by consumer
967,FN-CF-270a.4d,Percentage of complaints that resulted in investigation by the CFPB
968,FN-CF-270a.5a,Total amount of monetary losses as a result of legal proceedings associated with selling and servicing of products
969,FN-CF-270a.5b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
970,FN-EX-000.Aa,"Average daily number of trades executed, by product or asset class"
971,FN-EX-000.Ba,"Average daily volume trade, by product or asset class"
972,FN-EX-410a.1a,Number of halts related to public release of information
973,FN-EX-410a.1b,Number of pauses related to volatility
974,FN-EX-410a.1c,Average duration of halts related to public release of information
975,FN-EX-410a.1d,Average duration of pauses related to volatility
976,FN-EX-410a.2a,Percentage of trades generated from automated trading systems
977,FN-EX-410a.2b,The entity shall discuss risks and opportunities (short- and long-term) associated with automated trading systems including algorithmic or high-frequency trading.
978,FN-EX-410a.3a,Discussion of alert policy regarding timing and nature of public release of information
979,FN-EX-410a.4a,"Description of policy to encourage or require listed companies to publicly disclose environmental, social, and governance (ESG) information"
980,FN-EX-510a.1a,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
981,FN-EX-510a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
982,FN-EX-510a.2a,Discussion of processes for identifying and assessing conflicts of interest
983,FN-EX-550a.1a,Number of significant market disruptions
984,FN-EX-550a.1b,Duration of downtime for significant market disruptions
985,FN-EX-550a.1c,"For each disruption, the entity shall describe the type and extent of the disruption, the root cause, and any corrective actions implemented in response."
986,FN-EX-550a.2a,Number of data breaches
987,FN-EX-550a.2b,Percentage of data breaches involving customers’ personally identifiable information
988,FN-EX-550a.2c,Number of customers affected by data breaches
989,FN-EX-550a.2d,Disclosure shall include a description of corrective actions implemented in response to data breaches
990,FN-EX-550a.3a,"Description of efforts to prevent technology errors, security breaches, and market disruptions"
991,FN-IB-000.Aa,Number of underwriting transactions
992,FN-IB-000.Ab,Value of underwriting transactions
993,FN-IB-000.Ac,Number of advisory transactions
994,FN-IB-000.Ad,Value of advisory transactions
995,FN-IB-000.Ae,Number of securitization transactions
996,FN-IB-000.Af,Value of securitization transactions
997,FN-IB-000.Ba,Number of proprietary investments and loans by sector
998,FN-IB-000.Bb,Value of proprietary investments and loans by sector
999,FN-IB-000.Ca,Number of market making transactions in fixed income products
1000,FN-IB-000.Cb,Total value of market making transactions in fixed income products
1001,FN-IB-000.Cc,Number of market making transactions in equity products
1002,FN-IB-000.Cd,Total value of market making transactions in equity products
1003,FN-IB-000.Ce,Number of market making transactions in currency products
1004,FN-IB-000.Cf,Total value of market making transactions in currency products
1005,FN-IB-000.Cg,Number of market making transactions in derivatives products
1006,FN-IB-000.Ch,Total value of market making transactions in derivatives products
1007,FN-IB-000.Ci,Number of market making transactions in commodity products
1008,FN-IB-000.Cj,Total value of market making transactions in commodity products
1009,FN-IB-330a.1a,Percentage of executive management who are female
1010,FN-IB-330a.1aa,Percentage of professionals who are Hispanic or Latino
1011,FN-IB-330a.1b,Percentage of executive management who are male
1012,FN-IB-330a.1bb,Percentage of professionals who are White
1013,FN-IB-330a.1c,Percentage of executive management whose gender is not available or not disclosed
1014,FN-IB-330a.1cc,Percentage of professionals whose race/ethnicity is classified as other
1015,FN-IB-330a.1d,Percentage of non-executive management who are female
1016,FN-IB-330a.1dd,Percentage of professionals whose race/ethnicity is not available or not disclosed
1017,FN-IB-330a.1e,Percentage of non-executive management who are male
1018,FN-IB-330a.1ee,Percentage of all other employees who are Asian
1019,FN-IB-330a.1f,Percentage of non-executive management whose gender is not available or not disclosed
1020,FN-IB-330a.1ff,Percentage of all other employees who are Black or African American
1021,FN-IB-330a.1g,Percentage of professionals who are female
1022,FN-IB-330a.1gg,Percentage of all other employees who are Hispanic or Latino
1023,FN-IB-330a.1h,Percentage of professionals who are male
1024,FN-IB-330a.1hh,Percentage of all other employees who are White
1025,FN-IB-330a.1i,Percentage of professionals whose gender is not available or not disclosed
1026,FN-IB-330a.1ii,Percentage of all other employees whose race/ethnicity is classified as other
1027,FN-IB-330a.1j,Percentage of all other employees who are female
1028,FN-IB-330a.1jj,Percentage of all other employees whose race/ethnicity is not available or not disclosed
1029,FN-IB-330a.1k,Percentage of all other employees who are male
1030,FN-IB-330a.1l,Percentage of all other employees whose gender is not available or not disclosed
1031,FN-IB-330a.1m,Percentage of executive management who are Asian
1032,FN-IB-330a.1n,Percentage of executive management who are Black or African American
1033,FN-IB-330a.1o,Percentage of executive management who are Hispanic or Latino
1034,FN-IB-330a.1p,Percentage of executive management who are White
1035,FN-IB-330a.1q,Percentage of executive management whose race/ethnicity is classified as other
1036,FN-IB-330a.1r,Percentage of executive management whose race/ethnicity is not available or not disclosed
1037,FN-IB-330a.1s,Percentage of non-executive management who are Asian
1038,FN-IB-330a.1t,Percentage of non-executive management who are Black or African American
1039,FN-IB-330a.1u,Percentage of non-executive management who are Hispanic or Latino
1040,FN-IB-330a.1v,Percentage of non-executive management who are White
1041,FN-IB-330a.1w,Percentage of non-executive management whose race/ethnicity is classified as other
1042,FN-IB-330a.1x,Percentage of non-executive management whose race/ethnicity is not available or not disclosed
1043,FN-IB-330a.1y,Percentage of professionals who are Asian
1044,FN-IB-330a.1z,Percentage of professionals who are Black or African American
1045,FN-IB-410a.1a,"Number of underwriting transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1046,FN-IB-410a.1b,"Number of advisory transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1047,FN-IB-410a.1c,"Number of securitization transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1048,FN-IB-410a.1d,"Total value of underwriting transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1049,FN-IB-410a.1e,"Total value of advisory transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1050,FN-IB-410a.1f,"Total value of securitization transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1051,FN-IB-410a.2a,"Number of investments and loans incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1052,FN-IB-410a.2b,"Total value of investments and loans incorporating integration of environmental, social, and governance (ESG) factors, by industry"
1053,FN-IB-410a.3a,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment banking and brokerage activities"
1054,FN-IB-510a.1a,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
1055,FN-IB-510a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
1056,FN-IB-510a.2a,Description of whistleblower policies and procedures
1057,FN-IB-510b.1a,"Number of covered employees with a record of investment-related investigations, consumer-initiated complaints, private civil litigations, or other regulatory proceedings"
1058,FN-IB-510b.1b,"Percentage of covered employees with a record of investment-related investigations, consumer-initiated complaints, private civil litigations, or other regulatory proceedings"
1059,FN-IB-510b.1c,The entity shall describe how it ensures that covered employees file and update FINRA and SEC forms in a timely manner.
1060,FN-IB-510b.2a,"Number of mediation and arbitration cases associated with professional integrity, including duty of care with clients as a counterparty"
1061,FN-IB-510b.2b,Number of mediation and arbitration cases associated with professional integrity and duty of care with employees as a counterparty
1062,FN-IB-510b.2c,Number of mediation and arbitration cases associated with professional integrity and duty of care with other counterparties
1063,FN-IB-510b.3a,"Total amount of monetary losses as a result of legal proceedings associated with professional integrity, including duty of care"
1064,FN-IB-510b.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1065,FN-IB-510b.4a,"Description of approach to ensuring professional integrity, including duty of care"
1066,FN-IB-550a.1a,"Global Systemically Important Bank (G-SIB) score, by category"
1067,FN-IB-550a.1b,The entity shall describe whether the Globally Systematically Important Bank (G-SIB) score is calculated by the entity or obtained from the regulatory authorities and whether the entity is required to report the underlying data to the regulators.
1068,FN-IB-550a.2a,"Description of approach to incorporation of results of mandatory and voluntary stress tests into capital adequacy planning, long-term corporate strategy, and other business activities"
1069,FN-IB-550b.1a,Percentage of total remuneration that is variable for Material Risk Takers (MRTs)
1070,FN-IB-550b.1b,The entity shall discuss its remuneration policies for Material Risk Takers (MRTs)
1071,FN-IB-550b.2a,Percentage of variable remuneration of Material Risk Takers (MRTs) to which malus or clawback provisions were applied
1072,FN-IB-550b.2b,The entity shall discuss whether its initial ex-ante adjustments were sufficient in risk mitigation
1073,FN-IB-550b.3a,"Discussion of policies around supervision, control, and validation of traders’ pricing of Level 3 assets and liabilities"
1074,FN-IN-000.Aa,Number of policies in force in the property & casualty segment
1075,FN-IN-000.Ab,Number of policies in force in the life segment
1076,FN-IN-000.Ac,Number of policies in force in the assumed reinsurance segment
1077,FN-IN-270a.1a,Total amount of monetary losses as a result of legal proceedings associated with marketing and communication of insurance product-related information to new and returning customers
1078,FN-IN-270a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
1079,FN-IN-270a.2a,Complaints-to-claims ratio
1080,FN-IN-270a.3a,Customer retention rate
1081,FN-IN-270a.4a,Description of approach to informing customers about products
1082,FN-IN-410a.1a,Total assets invested by industry and asset class
1083,FN-IN-410a.2a,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment management processes and strategies"
1084,FN-IN-410b.1a,Net premiums written related to energy efficiency and low carbon technology
1085,FN-IN-410b.2a,"Discussion of products and/or product features that incentivize health, safety, and/or environmentally responsible actions and/or behaviors"
1086,FN-IN-450a.1a,Probable Maximum Loss (PML) of insured products from weather-related natural catastrophes
1087,FN-IN-450a.1b,"The entity shall describe climate-related scenarios used, including the critical input parameters, assumptions and considerations, analytical choices, and time frames, in calculation of the PML."
1088,FN-IN-450a.2a,Total amount of monetary losses attributable to insurance payouts from modeled natural catastrophes (net of reinsurance)
1089,FN-IN-450a.2b,Total annual losses attributable to insurance payouts from modeled natural catastrophes (gross of reinsurance)
1090,FN-IN-450a.2c,Total annual losses attributable to insurance payouts from non-modeled natural catastrophes (net of reinsurance)
1091,FN-IN-450a.2d,Total annual losses attributable to insurance payouts from non-modeled natural catastrophes (gross of reinsurance)
1092,FN-IN-450a.2e,The entity shall discuss how climate change-related impacts and variability of weather-related losses impact the cost of reinsurance and the entity’s approach to transferring risk through reinsurance.
1093,FN-IN-450a.3a,Description of approach to incorporation of environmental risks into (1) the underwriting process for individual contracts and (2) the management of firm-level risks and capital adequacy
1094,FN-IN-450a.3b,Description of how environmental risks are integrated into the management of firm-level risks and capital adequacy
1095,FN-IN-550a.1a,Total potential exposure to non-centrally cleared derivatives
1096,FN-IN-550a.1b,Total fair value of acceptable collateral posted with the Central Clearinghouse
1097,FN-IN-550a.1c,Total potential exposure to centrally cleared derivatives
1098,FN-IN-550a.2a,Total fair value of securities lending collateral assets
1099,FN-IN-550a.3a,Description of approach to managing capital- and liquidity-related risks associated with systemic non-insurance activities
1100,FN-MF-000.Aa,Number of residential mortgages originated
1101,FN-MF-000.Ab,Number of commercial mortgages originated
1102,FN-MF-000.Ac,Value of residential mortgages originated
1103,FN-MF-000.Ad,Value of commercial mortgages originated
1104,FN-MF-000.Ba,Number of residential mortgages purchased
1105,FN-MF-000.Bb,Number of commercial mortgages purchased
1106,FN-MF-000.Bc,Value of residential mortgages purchased
1107,FN-MF-000.Bd,Value of commercial mortgages purchased
1108,FN-MF-270a.1a,Number of Hybrid or Option ARM residential mortgages with FICO scores below or equal to 660
1109,FN-MF-270a.1b,Number of Higher Rate residential mortgages with FICO scores below or equal to 660
1110,FN-MF-270a.1c,Number of Prepayment Penalty residential mortgages with FICO scores below or equal to 660
1111,FN-MF-270a.1d,Number of Total residential mortgages with FICO scores below or equal to 660
1112,FN-MF-270a.1e,Value of Hybrid or Option ARM residential mortgages with FICO scores below or equal to 660
1113,FN-MF-270a.1f,Value of Higher Rate residential mortgages with FICO scores below or equal to 660
