,Accounting Metric Code,Accounting Metric or Activity Metric
278,FB-NB-270a.3,Number of incidents of non-compliance with industry or regulatory labeling and/or marketing codes
279,FB-NB-270a.4,Total amount of monetary losses as a result of legal proceedings associated with marketing and/or labeling practices
280,FB-NB-410a.1,"(1) Total weight of packaging, (2) percentage made from recycled and/or renewable materials, and (3) percentage that is recyclable, reusable, and/or compostable"
281,FB-NB-410a.2,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
282,FB-NB-430a.1,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
283,FB-NB-440a.1,Percentage of beverage ingredients sourced from regions with High or Extremely High Baseline Water Stress
284,FB-NB-440a.2,List of priority beverage ingredients and description of sourcing risks due to environmental and social considerations
285,FB-PF-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
286,FB-PF-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
287,FB-PF-140a.2,"Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regulations"
288,FB-PF-140a.3,Description of water management risks and discussion of strategies and practices to mitigate those risks
289,FB-PF-250a.1,Global Food Safety Initiative (GFSI) audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
290,FB-PF-250a.2,Percentage of ingredients sourced from Tier 1 supplier facilities certified to a Global Food Safety Initiative (GFSI) recognized food safety certification program
291,FB-PF-250a.3,"(1) Total number of notices of food safety violation received, (2) percentage corrected"
292,FB-PF-250a.4,(1) Number of recalls issued and (2) total amount of food product recalled
293,FB-PF-260a.1,Revenue from products labeled and/or marketed to promote health and nutrition attributes
294,FB-PF-260a.2,Discussion of the process to identify and manage products and ingredients related to nutritional and health concerns among consumers
295,FB-PF-270a.1,Percentage of advertising impressions (1) made on children and (2) made on children promoting products that meet dietary guidelines
296,FB-PF-270a.2,Revenue from products labeled as (1) containing genetically modified organisms (GMOs) and (2) non-GMO
297,FB-PF-270a.3,Number of incidents of non-compliance with industry or regulatory labeling and/or marketing codes
298,FB-PF-270a.4,Total amount of monetary losses as a result of legal proceedings associated with labeling and/or marketing practices
299,FB-PF-410a.1,"(1) Total weight of packaging, (2) percentage made from recycled and/or renewable materials, and (3) percentage that is recyclable, reusable, and/or compostable"
300,FB-PF-410a.2,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
301,FB-PF-430a.1,"Percentage of food ingredients sourced that are certified to third-party environmental and/or social standards, and percentages by standard"
302,FB-PF-430a.2,Suppliers’ social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances
303,FB-PF-440a.1,Percentage of food ingredients sourced from regions with High or Extremely High Baseline Water Stress
304,FB-PF-440a.2,List of priority food ingredients and discussion of sourcing risks due to environmental and social considerations
305,FB-RN-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
306,FB-RN-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
307,FB-RN-150a.1,"(1) Total amount of waste, (2) percentage food waste, and (3) percentage diverted"
308,FB-RN-150a.2,"(1) Total weight of packaging, (2) percentage made from recycled and/or renewable materials, and (3) percentage that is recyclable, reusable, and/or compostable"
309,FB-RN-250a.1,"(1) Percentage of restaurants inspected by a food safety oversight body, (2) percentage receiving critical violations"
310,FB-RN-250a.2,(1) Number of recalls issued and (2) total amount of food product recalled
311,FB-RN-250a.3,"Number of confirmed foodborne illness outbreaks, percentage resulting in U.S. Centers for Disease Control and Prevention (CDC) investigation"
312,FB-RN-260a.1,(1) Percentage of meal options consistent with national dietary guidelines and (2) revenue from these options
313,FB-RN-260a.2,(1) Percentage of children’s meal options consistent with national dietary guidelines for children and (2) revenue from these options
314,FB-RN-260a.3,"Number of advertising impressions made on children, percentage promoting products that meet national dietary guidelines for children"
315,FB-RN-310a.1,(1) Voluntary and (2) involuntary turnover rate for restaurant employees
316,FB-RN-310a.2,"(1) Average hourly wage, by region and (2) percentage of restaurant employees earning minimum wage, by region"
317,FB-RN-310a.3,Total amount of monetary losses as a result of legal proceedings associated with (1) labor law violations and (2) employment discrimination
318,FB-RN-430a.1,Percentage of food purchased that (1) meets environmental and social sourcing standards and (2) is certified to third-party environmental and/or social standards
319,FB-RN-430a.2,Percentage of (1) eggs that originated from a cage-free environment and (2) pork that was produced without the use of gestation crates
320,FB-RN-430a.3,"Discussion of strategy to manage environmental and social risks within the supply chain, including animal welfare"
321,FB-TB-260a.1,(1) Gross revenue and (2) revenue net of excise taxes from (a) non-tobacco nicotine products and (b) heated tobacco products
322,FB-TB-260a.2,"Discussion of the process to assess risks and opportunities associated with ""tobacco harm reduction"" products"
323,FB-TB-270a.1,"Total amount of monetary losses as a result of legal proceedings associated with marketing, labeling, and/or advertising practices"
324,FB-TB-270a.2,Description of the company’s marketing policy and relevant positions on Articles 11 and 13 of the World Health Organization Framework Convention on Tobacco Control (WHO FCTC)
325,FN-AC-270a.1,"(1) Number and (2) percentage of covered employees with a record of investment-related investigations, consumer-initiated complaints, private civil litigations, or other regulatory proceedings"
326,FN-AC-270a.2,Total amount of monetary losses as a result of legal proceedings associated with marketing and communication of financial product-related information to new and returning customers
327,FN-AC-270a.3,Description of approach to informing customers about products and services
328,FN-AC-330a.1,"Percentage of gender and racial/ethnic group representation for (1) executive management, (2) non-executive management, (3) professionals, and (4) all other employees"
329,FN-AC-410a.1,"Amount of assets under management, by asset class, that employ (1) integration of environmental, social, and governance (ESG) issues, (2) sustainability themed investing, and (3) screening"
330,FN-AC-410a.2,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment and/or wealth management processes and strategies"
331,FN-AC-410a.3,Description of proxy voting and investee engagement policies and procedures
332,FN-AC-510a.1,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
333,FN-AC-510a.2,Description of whistleblower policies and procedures
334,FN-AC-550a.1,Percentage of open-end fund assets under management by category of liquidity classification
335,FN-AC-550a.2,Description of approach to incorporation of liquidity risk management programs into portfolio strategy and redemption risk management
336,FN-AC-550a.3,Total exposure to securities financing transactions
337,FN-AC-550a.4,Net exposure to written credit derivatives
338,FN-CB-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected"
339,FN-CB-230a.2,Description of approach to identifying and addressing data security risks
340,FN-CB-240a.1,(1) Number and (2) amount of loans outstanding qualified to programs designed to promote small business and community development
341,FN-CB-240a.2,(1) Number and (2) amount of past due and nonaccrual loans qualified to programs designed to promote small business and community development
342,FN-CB-240a.3,Number of no-cost retail checking accounts provided to previously unbanked or underbanked customers
343,FN-CB-240a.4,"Number of participants in financial literacy initiatives for unbanked, underbanked, or underserved customers"
344,FN-CB-410a.1,"Commercial and industrial credit exposure, by industry"
345,FN-CB-410a.2,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in credit analysis"
346,FN-CB-510a.1,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
347,FN-CB-510a.2,Description of whistleblower policies and procedures
348,FN-CB-550a.1,"Global Systemically Important Bank (G-SIB) score, by category"
349,FN-CB-550a.2,"Description of approach to incorporation of results of mandatory and voluntary stress tests into capital adequacy planning, long-term corporate strategy, and other business activities"
350,FN-CF-220a.1,Number of account holders whose information is used for secondary purposes
351,FN-CF-220a.2,Total amount of monetary losses as a result of legal proceedings associated with customer privacy
352,FN-CF-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected"
353,FN-CF-230a.2,Card-related fraud losses from (1) card-not-present fraud and (2) card-present and other fraud
354,FN-CF-230a.3,Description of approach to identifying and addressing data security risks
355,FN-CF-270a.1,Percentage of total remuneration for covered employees that is variable and linked to the amount of products and services sold
356,FN-CF-270a.2,Approval rate for (1) credit and (2) pre-paid products for applicants with FICO scores above and below 660
357,FN-CF-270a.3,"(1) Average fees from add-on products, (2) average APR, (3) average age of accounts, (4) average number of trade lines, and (5) average annual fees for pre-paid products, for customers with FICO scores above and below 660"
358,FN-CF-270a.4,"(1) Number of complaints filed with the Consumer Financial Protection Bureau (CFPB), (2) percentage with monetary or non-monetary relief, (3) percentage disputed by consumer, (4) percentage that resulted in investigation by the CFPB"
359,FN-CF-270a.5,Total amount of monetary losses as a result of legal proceedings associated with selling and servicing of products
360,FN-EX-410a.1,(1) Number and (2) average duration of (a) halts related to public release of information and (b) pauses related to volatility
361,FN-EX-410a.2,Percentage of trades generated from automated trading systems
362,FN-EX-410a.3,Description of alert policy regarding timing and nature of public release of information
363,FN-EX-410a.4,"Description of policy to encourage or require listed companies to publicly disclose environmental, social, and governance (ESG) information"
364,FN-EX-510a.1,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
365,FN-EX-510a.2,Discussion of processes for identifying and assessing conflicts of interest
366,FN-EX-550a.1,(1) Number of significant market disruptions and (2) duration of downtime
367,FN-EX-550a.2,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of customers affected"
368,FN-EX-550a.3,"Description of efforts to prevent technology errors, security breaches, and market disruptions"
369,FN-IB-330a.1,"Percentage of gender and racial/ethnic group representation for (1) executive management, (2) non-executive management, (3) professionals, and (4) all other employees"
370,FN-IB-410a.1,"Revenue from (1) underwriting, (2) advisory, and (3) securitization transactions incorporating integration of environmental, social, and governance (ESG) factors, by industry"
371,FN-IB-410a.2,"(1) Number and (2) total value of investments and loans incorporating integration of environmental, social, and governance (ESG) factors, by industry"
372,FN-IB-410a.3,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment banking and brokerage activities"
373,FN-IB-510a.1,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations"
374,FN-IB-510a.2,Description of whistleblower policies and procedures
375,FN-IB-510b.1,"(1) Number and (2) percentage of covered employees with a record of investment-related investigations, consumer-initiated complaints, private civil litigations, or other regulatory proceedings"
376,FN-IB-510b.2,"Number of mediation and arbitration cases associated with professional integrity, including duty of care, by party"
377,FN-IB-510b.3,"Total amount of monetary losses as a result of legal proceedings associated with professional integrity, including duty of care"
378,FN-IB-510b.4,"Description of approach to ensuring professional integrity, including duty of care"
379,FN-IB-550a.1,"Global Systemically Important Bank (G-SIB) score, by category"
380,FN-IB-550a.2,"Description of approach to incorporation of results of mandatory and voluntary stress tests into capital adequacy planning, long-term corporate strategy, and other business activities"
381,FN-IB-550b.1,Percentage of total remuneration that is variable for Material Risk Takers (MRTs)
382,FN-IB-550b.2,Percentage of variable remuneration of Material Risk Takers (MRTs) to which malus or clawback provisions were applied
383,FN-IB-550b.3,"Discussion of policies around supervision, control, and validation of traders’ pricing of Level 3 assets and liabilities"
384,FN-IN-270a.1,Total amount of monetary losses as a result of legal proceedings associated with marketing and communication of insurance product-related information to new and returning customers
385,FN-IN-270a.2,Complaints-to-claims ratio
386,FN-IN-270a.3,Customer retention rate
387,FN-IN-270a.4,Description of approach to informing customers about products
388,FN-IN-410a.1,"Total invested assets, by industry and asset class"
389,FN-IN-410a.2,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment management processes and strategies"
390,FN-IN-410b.1,Net premiums written related to energy efficiency and low carbon technology
391,FN-IN-410b.2,"Discussion of products and/or product features that incentivize health, safety, and/or environmentally responsible actions and/or behaviors"
392,FN-IN-450a.1,Probable Maximum Loss (PML) of insured products from weather-related natural catastrophes
393,FN-IN-450a.2,"Total amount of monetary losses attributable to insurance payouts from (1) modeled natural catastrophes and (2) non-modeled natural catastrophes, by type of event and geographic segment (net and gross of reinsurance)"
394,FN-IN-450a.3,Description of approach to incorporation of environmental risks into (1) the underwriting process for individual contracts and (2) the management of firm-level risks and capital adequacy
395,FN-IN-550a.1,"Exposure to derivative instruments by category: (1) total potential exposure to non-centrally cleared derivatives, (2) total fair value of acceptable collateral posted with the Central Clearinghouse, and (3) total potential exposure to centrally cleared derivatives"
396,FN-IN-550a.2,Total fair value of securities lending collateral assets
397,FN-IN-550a.3,Description of approach to managing capital- and liquidity-related risks associated with systemic non-insurance activities
398,FN-MF-270a.1,"(1) Number and (2) value of residential mortgages of the following types: (a) Hybrid or Option Adjustable-rate Mortgages (ARM), (b) Prepayment Penalty, (c) Higher Rate, (d) Total, by FICO scores above or below 660"
399,FN-MF-270a.2,"(1) Number and (2) value of (a) residential mortgage modifications, (b) foreclosures, and (c) short sales or deeds in lieu of foreclosure, by FICO scores above and below 660"
400,FN-MF-270a.3,Total amount of monetary losses as a result of legal proceedings associated with communications to customers or remuneration of loan originators
401,FN-MF-270a.4,Description of remuneration structure of loan originators
402,FN-MF-270b.1,"(1) Number, (2) value, and (3) weighted average Loan-to-Value (LTV) ratio of mortgages issued to (a) minority and (b) all other borrowers, by FICO scores above and below 660"
403,FN-MF-270b.2,Total amount of monetary losses as a result of legal proceedings associated with discriminatory mortgage lending
404,FN-MF-270b.3,Description of policies and procedures for ensuring nondiscriminatory mortgage origination
405,FN-MF-450a.1,(1) Number and (2) value of mortgage loans in 100-year flood zones
406,FN-MF-450a.2,"(1) Total expected loss and (2) Loss Given Default (LGD) attributable to mortgage loan default and delinquency due to weather-related natural catastrophes, by geographic region"
407,FN-MF-450a.3,Description of how climate change and other environmental risks are incorporated into mortgage origination and underwriting
408,HC-BP-210a.1,"Discussion, by world region, of management process for ensuring quality and patient safety during clinical trials"
409,HC-BP-210a.2,Number of FDA Sponsor Inspections related to clinical trial management and pharmacovigilance that resulted in: (1) Voluntary Action Indicated (VAI) and (2) Official Action Indicated (OAI)
410,HC-BP-210a.3,Total amount of monetary losses as a result of legal proceedings associated with clinical trials in developing countries
411,HC-BP-240a.1,Description of actions and initiatives to promote access to health care products for priority diseases and in priority countries as defined by the Access to Medicine Index
412,HC-BP-240a.2,List of products on the WHO List of Prequalified Medicinal Products as part of its Prequalification of Medicines Programme (PQP)
413,HC-BP-240b.1,Number of settlements of Abbreviated New Drug Application (ANDA) litigation that involved payments and/or provisions to delay bringing an authorized generic product to market for a defined time period
414,HC-BP-240b.2,Percentage change in: (1) average list price and (2) average net price across U.S. product portfolio compared to previous year
415,HC-BP-240b.3,Percentage change in: (1) list price and (2) net price of product with largest increase compared to previous year
416,HC-BP-250a.1,List of products listed in the Food and Drug Administration’s (FDA) MedWatch Safety Alerts for Human Medical Products database
417,HC-BP-250a.2,Number of fatalities associated with products as reported in the FDA Adverse Event Reporting System
418,HC-BP-250a.3,"Number of recalls issued, total units recalled"
419,HC-BP-250a.4,"Total amount of product accepted for take-back, reuse, or disposal"
420,HC-BP-250a.5,"Number of FDA enforcement actions taken in response to violations of current Good Manufacturing Practices (cGMP), by type"
421,HC-BP-260a.1,Description of methods and technologies used to maintain traceability of products throughout the supply chain and prevent counterfeiting
422,HC-BP-260a.2,Discussion of process for alerting customers and business partners of potential or known risks associated with counterfeit products
423,HC-BP-260a.3,"Number of actions that led to raids, seizure, arrests, and/or filing of criminal charges related to counterfeit products"
424,HC-BP-270a.1,Total amount of monetary losses as a result of legal proceedings associated with false marketing claims
425,HC-BP-270a.2,Description of code of ethics governing promotion of off-label use of products
426,HC-BP-330a.1,Discussion of talent recruitment and retention efforts for scientists and research and development personnel
427,HC-BP-330a.2,"(1) Voluntary and (2) involuntary turnover rate for: (a) executives/senior managers, (b) mid-level managers, (c) professionals, and (d) all others"
428,HC-BP-430a.1,Percentage of (1) entity's facilities and (2) Tier I suppliers' facilities participating in the Rx-360 International Pharmaceutical Supply Chain Consortium audit program or equivalent third-party audit programs for integrity of supply chain and ingredients
429,HC-BP-510a.1,Total amount of monetary losses as a result of legal proceedings associated with corruption and bribery
430,HC-BP-510a.2,Description of code of ethics governing interactions with health care professionals
431,HC-DI-110a.1,Payload fuel economy
432,HC-DI-110a.2,Description of efforts to reduce the environmental impact of logistics
433,HC-DI-250a.1,Total amount of monetary losses as a result of legal proceedings associated with product safety
434,HC-DI-250a.2,"Description of efforts to minimize health and safety risks of products sold associated with toxicity/chemical safety, high abuse potential, or delivery"
435,HC-DI-260a.1,Description of methods and technologies used to maintain traceability of products throughout the distribution chain and prevent counterfeiting
436,HC-DI-260a.2,Discussion of due diligence process to qualify suppliers of drug products and medical equipment and devices
437,HC-DI-260a.3,Discussion of process for alerting customers and business partners of potential or known risks associated with counterfeit products
438,HC-DI-410a.1,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
439,HC-DI-410a.2,"Amount (by weight) of products accepted for take-back and reused, recycled, or donated"
440,HC-DI-510a.1,Description of efforts to minimize conflicts of interest and unethical business practices
441,HC-DI-510a.2,"Total amount of monetary losses as a result of legal proceedings associated with bribery, corruption, or other unethical business practices"
442,HC-DR-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
443,HC-DR-230a.1,Description of policies and practices to secure customers’ protected health information (PHI) records and other personally identifiable information (PII)
444,HC-DR-230a.2,"(1) Number of data breaches, (2) percentage involving (a) personally identifiable information (PII) only and (b) protected health information (PHI), (3) number of customers affected in each category, (a) PII only and (b) PHI"
445,HC-DR-230a.3,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy
446,HC-DR-250a.1,Description of efforts to reduce the occurrence of compromised drugs within the supply chain
447,HC-DR-250a.2,"Number of drug recalls issued, total units recalled, percentage for private-label products"
448,HC-DR-260a.1,Percentage of controlled substance prescriptions dispensed for which a prescription drug monitoring program (PDMP) database was queried
449,HC-DR-260a.2,Total amount of monetary losses as a result of legal proceedings associated with controlled substances
450,HC-DR-260b.1,First fill adherence rate
451,HC-DR-260b.2,Description of policies and practices to prevent prescription dispensing errors
452,HC-DR-260b.3,Total amount of monetary losses as a result of legal proceedings associated with prescription dispensing errors
453,HC-DY-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
454,HC-DY-150a.1,"Total amount of medical waste, percentage (a) incinerated, (b) recycled or treated, and (c) landfilled"
455,HC-DY-150a.2,"Total amount of: (1) hazardous and (2) non-hazardous pharmaceutical waste, percentage (a) incinerated, (b) recycled or treated, and (c) landfilled"
456,HC-DY-230a.1,"Percentage of patient records that are Electronic Health Records (EHR) that meet ""meaningful use"" requirements"
457,HC-DY-230a.2,Description of policies and practices to secure customers’ protected health information (PHI) records and other personally identifiable information (PII)
458,HC-DY-230a.3,"(1) Number of data breaches, (2) percentage involving (a) personally identifiable information (PII) only and (b) protected health information (PHI), (3) number of customers affected in each category, (a) PII only and (b) PHI"
459,HC-DY-230a.4,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy
460,HC-DY-240a.1,Discussion of strategy to manage the mix of patient insurance status
461,HC-DY-240a.2,Amount of Medicare Disproportionate Share Hospital (DSH) adjustment payments received
462,HC-DY-250a.1,"Average Hospital Value-Based Purchasing Total Performance Score and domain score, across all facilities"
463,HC-DY-250a.2,Number of Serious Reportable Events (SREs) as defined by the National Quality Forum (NQF)
464,HC-DY-250a.3,Hospital-Acquired Condition (HAC) Score per hospital
465,HC-DY-250a.4,Excess readmission ratio per hospital
466,HC-DY-250a.5,Magnitude of readmissions payment adjustment as part of the Hospital Readmissions Reduction Program (HRRP)
467,HC-DY-260a.1,Description of policies and practices to manage the number of prescriptions issued for controlled substances
468,HC-DY-260a.2,Percentage of controlled substance prescriptions written for which a prescription drug monitoring program (PDMP) database was queried
469,HC-DY-270a.1,Description of policies or initiatives to ensure that patients are adequately informed about price before undergoing a procedure
470,HC-DY-270a.2,Discussion of how pricing information for services is made publicly available
471,HC-DY-270a.3,"Number of the entity’s 25 most common services for which pricing information is publicly available, percentage of total services performed (by volume) that these represent"
472,HC-DY-320a.1,"(1) Total recordable incident rate (TRIR) and (2) days away, restricted, or transferred (DART) rate"
473,HC-DY-330a.1,"(1) Voluntary and (2) involuntary turnover rate for: (a) physicians, (b) non-physician health care practitioners, and (c) all other employees"
474,HC-DY-330a.2,Description of talent recruitment and retention efforts for health care practitioners
475,HC-DY-450a.1,"Description of policies and practices to address: (1) the physical risks due to an increased frequency and intensity of extreme weather events and (2) changes in the morbidity and mortality rates of illnesses and diseases, associated with climate change"
476,HC-DY-450a.2,Percentage of health care facilities that comply with the Centers for Medicare and Medicaid Services (CMS) Emergency Preparedness Rule
477,HC-DY-510a.1,Total amount of monetary losses as a result of legal proceedings associated with Medicare and Medicaid fraud under the False Claims Act
478,HC-MC-230a.1,Description of policies and practices to secure customers’ protected health information (PHI) records and other personally identifiable information (PII)
479,HC-MC-230a.2,"(1) Number of data breaches, (2) percentage involving (a) personally identifiable information (PII) only and (b) protected health information (PHI), (3) number of customers affected in each category, (a) PII only and (b) PHI"
480,HC-MC-230a.3,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy
481,HC-MC-240a.1,Medical Loss Ratio (MLR)
482,HC-MC-240a.2,Total amount of rebates accrued and paid due to non-compliance with the Patient Protection and Affordable Care Act for Medical Loss Ratio (MLR)   
483,HC-MC-240a.3,Percentage of proposed rate increases receiving “not unreasonable” designation from Health and Human Services (HHS) review or state review
484,HC-MC-250a.1,"Average Medicare Advantage plan rating for each of the following plan types: (1) HMO, (2) local PPO, (3) regional PPO, (4) PFFS, and (5) SNP"
485,HC-MC-250a.2,"Enrollee retention rate by plan type, including: (1) HMO, (2) local PPO, (3) regional PPO, (4) PFFS, and (5) SNP"
486,HC-MC-250a.3,Percentage of claims denied that were appealed by customers and ultimately reversed
487,HC-MC-250a.4,Plan enrollee grievance rate
488,HC-MC-260a.1,"Percentage of enrollees in wellness programs by type: (1) diet and nutrition, (2) exercise, (3) stress management, (4) mental health, (5) smoking or alcohol cessation, or (6) other"
489,HC-MC-260a.2,"Total coverage for preventive health services with no cost sharing for the enrollees, total coverage for preventive health services requiring cost-sharing by the enrollee, percentage of enrollees receiving Initial Preventive Physical Examinations (IPEE) or Annual Wellness Visits (AWV)"
490,HC-MC-260a.3,Number of customers receiving care from Accountable Care Organizations or enrolled in Patient-Centered Medical Home programs
491,HC-MC-450a.1,"Discussion of the strategy to address the effects of climate change on business operations and how specific risks presented by changes in the geographic incidence, morbidity, and mortality of illnesses and diseases are incorporated into risk models"
492,HC-MS-240a.1,Ratio of weighted average rate of net price increases (for all products) to the annual increase in the U.S. Consumer Price Index
493,HC-MS-240a.2,Description of how price information for each product is disclosed to customers or to their agents
494,HC-MS-250a.1,"Number of recalls issued, total units recalled"
495,HC-MS-250a.2,List of products listed in the FDA’s MedWatch Safety Alerts for Human Medical Products database
496,HC-MS-250a.3,Number of fatalities related to products as reported in the FDA Manufacturer and User Facility Device Experiencedatabase
497,HC-MS-250a.4,"Number of FDA enforcement actions taken in response to violations of current Good Manufacturing Practices (cGMP), by type"
498,HC-MS-270a.1,Total amount of monetary losses as a result of legal proceedings associated with false marketing claims
499,HC-MS-270a.2,Description of code of ethics governing promotion of off-label use of products
500,HC-MS-410a.1,"Discussion of process to assess and manage environmental and human health considerations associated with chemicals in products, and meet demand for sustainable products"
501,HC-MS-410a.2,"Total amount of products accepted for take-back and reused, recycled, or donated, broken down by: (1) devices and equipment and (2) supplies"
502,HC-MS-430a.1,Percentage of (1) entity's facilities and (2) Tier I suppliers' facilities participating in third-party audit programs for manufacturing and product quality
503,HC-MS-430a.2,Description of efforts to maintain traceability within the distribution chain
504,HC-MS-430a.3,Description of the management of risks associated with the use of critical materials
505,HC-MS-510a.1,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption
506,HC-MS-510a.2,Description of code of ethics governing interactions with health care professionals
507,IF-EN-160a.1,"Number of incidents of non-compliance with environmental permits, standards, and regulations"
508,IF-EN-160a.2,"Discussion of processes to assess and manage environmental risks associated with project design, siting, and construction"
509,IF-EN-250a.1,Amount of defect- and safety-related rework costs
510,IF-EN-250a.2,Total amount of monetary losses as a result of legal proceedings associated with defect- and safety-related incidents
511,IF-EN-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees
512,IF-EN-410a.1,Number of (1) commissioned projects certified to a third-party multi-attribute sustainability standard and (2) active projects seeking such certification
513,IF-EN-410a.2,Discussion of process to incorporate operational-phase energy and water efficiency considerations into project planning and design
514,IF-EN-410b.1,Amount of backlog for (1) hydrocarbon-related projects and (2) renewable energy projects
515,IF-EN-410b.2,Amount of backlog cancellations associated with hydrocarbon-related projects
516,IF-EN-410b.3,Amount of backlog for non-energy projects associated with climate change mitigation
517,IF-EN-510a.1,(1) Number of active projects and (2) backlog in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
518,IF-EN-510a.2,Total amount of monetary losses as a result of legal proceedings associated with charges of (1) bribery or corruption and (2) anti-competitive practices
519,IF-EN-510a.3,"Description of policies and practices for prevention of (1) bribery and corruption, and (2) anti-competitive behavior in the project bidding processes"
520,IF-EU-110a.1,"(1) Gross global Scope 1 emissions, percentage covered under (2) emissions-limiting regulations, and (3) emissions-reporting regulations"
521,IF-EU-110a.2,Greenhouse gas (GHG) emissions associated with power deliveries
522,IF-EU-110a.3,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
523,IF-EU-110a.4,(1) Number of customers served in markets subject to renewable portfolio standards (RPS) and (2) percentage fulfillment of RPS target by market
524,IF-EU-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) particulate matter (PM10), (4) lead (Pb), and (5) mercury (Hg); percentage of each in or near areas of dense population"
525,IF-EU-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
526,IF-EU-140a.2,"Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regulations"
527,IF-EU-140a.3,Description of water management risks and discussion of strategies and practices to mitigate those risks
528,IF-EU-150a.1,"Amount of coal combustion residuals (CCR) generated, percentage recycled"
529,IF-EU-150a.2,"Total number of coal combustion residual (CCR) impoundments, broken down by hazard potential classification and structural integrity assessment"
530,IF-EU-240a.1,"Average retail electric rate for (1) residential, (2) commercial, and (3) industrial customers"
531,IF-EU-240a.2,"Typical monthly electric bill for residential customers for (1) 500 kWh and (2) 1,000 kWh of electricity delivered per month"
532,IF-EU-240a.3,"Number of residential customer electric disconnections for non-payment, percentage reconnected within 30 days"
533,IF-EU-240a.4,"Discussion of impact of external factors on customer affordability of electricity, including the economic conditions of the service territory"
534,IF-EU-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR)"
535,IF-EU-420a.1,Percentage of electric utility revenues from rate structures that (1) are decoupled and (2) contain a lost revenue adjustment mechanism (LRAM)
536,IF-EU-420a.2,Percentage of electric load served by smart grid technology
537,IF-EU-420a.3,"Customer electricity savings from efficiency measures, by market"
538,IF-EU-540a.1,"Total number of nuclear power units, broken down by U.S. Nuclear Regulatory Commission (NRC) Action Matrix Column"
539,IF-EU-540a.2,Description of efforts to manage nuclear safety and emergency preparedness
540,IF-EU-550a.1,Number of incidents of non-compliance with physical and/or cybersecurity standards or regulations
541,IF-EU-550a.2,"(1) System Average Interruption Duration Index (SAIDI), (2) System Average Interruption Frequency Index (SAIFI), and (3) Customer Average Interruption Duration Index (CAIDI), inclusive of major event days"
542,IF-GU-240a.1,"Average retail gas rate for (1) residential, (2) commercial, (3) industrial customers, and (4) transportation services only"
543,IF-GU-240a.2,Typical monthly gas bill for residential customers for (1) 50 MMBtu and (2) 100 MMBtu of gas delivered per year
544,IF-GU-240a.3,"Number of residential customer gas disconnections for non-payment, percentage reconnected within 30 days"
