,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure,variable,value
37434,CG-BF-130a.1c,,CG,CG-BF,CG-BF-130a,CG-BF-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",CG-BF-130a.1c,Percentage (%),BA100MJDRRA5,0.23
37435,CG-BF-250a.1a,,CG,CG-BF,CG-BF-250a,CG-BF-250a.1,Discussion and Analysis,,CG-BF-250a.1a,,BA100MJDRRA5,TEXT
37436,CG-BF-250a.2a,,CG,CG-BF,CG-BF-250a,CG-BF-250a.2,Quantitative,Percentage (%) by revenue,CG-BF-250a.2a,Percentage (%) by revenue,BA100MJDRRA5,0.89
37437,CG-BF-410a.1a,,CG,CG-BF,CG-BF-410a,CG-BF-410a.1,Discussion and Analysis,,CG-BF-410a.1a,,BA100MJDRRA5,TEXT
37438,CG-BF-410a.2a,,CG,CG-BF,CG-BF-410a,CG-BF-410a.2,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-410a.2a,Metric tons (t),BA100MJDRRA5,48
37439,CG-BF-410a.2b,,CG,CG-BF,CG-BF-410a,CG-BF-410a.2,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-410a.2b,Percentage (%) by weight,BA100MJDRRA5,0.87
37440,CG-BF-430a.1a,,CG,CG-BF,CG-BF-430a,CG-BF-430a.1,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-430a.1a,Metric tons (t),BA100MJDRRA5,895
37441,CG-BF-430a.1b,,CG,CG-BF,CG-BF-430a,CG-BF-430a.1,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-430a.1b,Percentage (%) by weight,BA100MJDRRA5,0.38
37442,CG-BF-430a.1c,,CG,CG-BF,CG-BF-430a,CG-BF-430a.1,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-430a.1c,Percentage (%) by standard,BA100MJDRRA5,0.27
37443,CG-BF-430a.1d,,CG,CG-BF,CG-BF-430a,CG-BF-430a.1,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-430a.1d,Percentage (%) by weight,BA100MJDRRA5,0.05
37444,CG-BF-430a.1e,,CG,CG-BF,CG-BF-430a,CG-BF-430a.1,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-430a.1e,Percentage (%) by standard,BA100MJDRRA5,0.07
37445,CG-BF-430a.1f,,CG,CG-BF,CG-BF-430a,CG-BF-430a.1,Quantitative,"Metric tons (t), Percentage (%) by weight",CG-BF-430a.1f,,BA100MJDRRA5,TEXT
43057,TR-CR-000.Aa,,TR,TR-CR,TR-CR-000.A,,Quantitative,Months,TR-CR-000.Aa,Months,FR0000053076,3
43058,TR-CR-000.Ba,,TR,TR-CR,TR-CR-000.B,,Quantitative,Days,TR-CR-000.Ba,Days,FR0000053076,876
43059,TR-CR-000.Ca,,TR,TR-CR,TR-CR-000.C,,Quantitative,Number of vehicles,TR-CR-000.Ca,Number of vehicles,FR0000053076,184
43060,TR-CR-250a.1a,,TR,TR-CR,TR-CR-250a,TR-CR-250a.1,Quantitative,Percentage (%),TR-CR-250a.1a,Percentage (%),FR0000053076,0.32
43061,TR-CR-250a.2a,,TR,TR-CR,TR-CR-250a,TR-CR-250a.2,Quantitative,Number,TR-CR-250a.2a,Number,FR0000053076,196
43062,TR-CR-250a.2b,,TR,TR-CR,TR-CR-250a,TR-CR-250a.2,Quantitative,Number,TR-CR-250a.2b,,FR0000053076,TEXT
43063,TR-CR-410a.1a,,TR,TR-CR,TR-CR-410a,TR-CR-410a.1,Quantitative,"Mpg, L/km, gCO₂/km, km/L",TR-CR-410a.1a,"Mpg, L/km, gCO₂/km, km/L",FR0000053076,156
43064,TR-CR-410a.2a,,TR,TR-CR,TR-CR-410a,TR-CR-410a.2,Quantitative,Rate,TR-CR-410a.2a,Rate,FR0000053076,160
45364,SV-CA-000.Aa,,SV,SV-CA,SV-CA-000.A,,Quantitative,Number,SV-CA-000.Aa,Number,GB00B64R3093,588
45365,SV-CA-000.Ba,,SV,SV-CA,SV-CA-000.B,,Quantitative,Number,SV-CA-000.Ba,Number,GB00B64R3093,694
45366,SV-CA-000.Ca,,SV,SV-CA,SV-CA-000.C,,Quantitative,Number,SV-CA-000.Ca,Number,GB00B64R3093,60
45367,SV-CA-000.Da,,SV,SV-CA,SV-CA-000.D,,Quantitative,Square meters (m²),SV-CA-000.Da,Square meters (m²),GB00B64R3093,632
45368,SV-CA-130a.1a,,SV,SV-CA,SV-CA-130a,SV-CA-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",SV-CA-130a.1a,Gigajoules (GJ),GB00B64R3093,248
45369,SV-CA-130a.1b,,SV,SV-CA,SV-CA-130a,SV-CA-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",SV-CA-130a.1b,Percentage (%),GB00B64R3093,0.38
45370,SV-CA-130a.1c,,SV,SV-CA,SV-CA-130a,SV-CA-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",SV-CA-130a.1c,Percentage (%),GB00B64R3093,0.96
45371,SV-CA-260a.1a,,SV,SV-CA,SV-CA-260a,SV-CA-260a.1,Quantitative,Percentage (%) by revenue,SV-CA-260a.1a,Percentage (%) by revenue,GB00B64R3093,0.57
45372,SV-CA-260a.2a,,SV,SV-CA,SV-CA-260a,SV-CA-260a.2,Quantitative,Percentage (%) by revenue,SV-CA-260a.2a,Percentage (%) by revenue,GB00B64R3093,0.64
45373,SV-CA-320a.1a,,SV,SV-CA,SV-CA-320a,SV-CA-320a.1,Quantitative,Percentage (%) of gaming floor area,SV-CA-320a.1a,Percentage (%) of gaming floor area,GB00B64R3093,0.33
45374,SV-CA-320a.2a,,SV,SV-CA,SV-CA-320a,SV-CA-320a.2,Quantitative,Percentage (%) of man-hours,SV-CA-320a.2a,Percentage (%) of man-hours,GB00B64R3093,0.39
45375,SV-CA-510a.1a,,SV,SV-CA,SV-CA-510a,SV-CA-510a.1,Discussion and Analysis,,SV-CA-510a.1a,,GB00B64R3093,TEXT
45376,SV-CA-510a.2a,,SV,SV-CA,SV-CA-510a,SV-CA-510a.2,Quantitative,Reporting currency,SV-CA-510a.2a,Reporting currency,GB00B64R3093,129
45377,SV-CA-510a.2b,,SV,SV-CA,SV-CA-510a,SV-CA-510a.2,Quantitative,Reporting currency,SV-CA-510a.2b,,GB00B64R3093,TEXT
48066,RT-CH-000.Aa,,RT,RT-CH,RT-CH-000.A,,Quantitative,Cubic meters (m³) and/or metric tons (t),RT-CH-000.Aa,Cubic meters (m³) and/or metric tons (t),INE563D01013,877
48067,RT-CH-110a.1a,,RT,RT-CH,RT-CH-110a,RT-CH-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",RT-CH-110a.1a,Metric tons CO₂-e,INE563D01013,756
48068,RT-CH-110a.1b,,RT,RT-CH,RT-CH-110a,RT-CH-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",RT-CH-110a.1b,Percentage (%),INE563D01013,0.2
48069,RT-CH-110a.2a,,RT,RT-CH,RT-CH-110a,RT-CH-110a.2,Discussion and Analysis,,RT-CH-110a.2a,,INE563D01013,TEXT
48070,RT-CH-120a.1a,,RT,RT-CH,RT-CH-120a,RT-CH-120a.1,Quantitative,Metric tons (t),RT-CH-120a.1a,Metric tons (t),INE563D01013,863
48071,RT-CH-120a.1b,,RT,RT-CH,RT-CH-120a,RT-CH-120a.1,Quantitative,Metric tons (t),RT-CH-120a.1b,Metric tons (t),INE563D01013,163
48072,RT-CH-120a.1c,,RT,RT-CH,RT-CH-120a,RT-CH-120a.1,Quantitative,Metric tons (t),RT-CH-120a.1c,Metric tons (t),INE563D01013,134
48073,RT-CH-120a.1d,,RT,RT-CH,RT-CH-120a,RT-CH-120a.1,Quantitative,Metric tons (t),RT-CH-120a.1d,Metric tons (t),INE563D01013,251
48074,RT-CH-130a.1a,,RT,RT-CH,RT-CH-130a,RT-CH-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-CH-130a.1a,Gigajoules (GJ),INE563D01013,579
48075,RT-CH-130a.1b,,RT,RT-CH,RT-CH-130a,RT-CH-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-CH-130a.1b,Gigajoules (GJ),INE563D01013,8
48076,RT-CH-130a.1c,,RT,RT-CH,RT-CH-130a,RT-CH-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-CH-130a.1c,Percentage (%),INE563D01013,0.51
48077,RT-CH-130a.1d,,RT,RT-CH,RT-CH-130a,RT-CH-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-CH-130a.1d,Percentage (%),INE563D01013,0.48
48078,RT-CH-140a.1a,,RT,RT-CH,RT-CH-140a,RT-CH-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",RT-CH-140a.1a,Thousand cubic meters (m3),INE563D01013,588
48079,RT-CH-140a.1b,,RT,RT-CH,RT-CH-140a,RT-CH-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",RT-CH-140a.1b,Thousand cubic meters (m3),INE563D01013,192
48080,RT-CH-140a.1c,,RT,RT-CH,RT-CH-140a,RT-CH-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",RT-CH-140a.1c,Percentage (%),INE563D01013,0.8
48081,RT-CH-140a.1d,,RT,RT-CH,RT-CH-140a,RT-CH-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",RT-CH-140a.1d,Percentage (%),INE563D01013,0.12
48082,RT-CH-140a.2a,,RT,RT-CH,RT-CH-140a,RT-CH-140a.2,Quantitative,Number,RT-CH-140a.2a,Number,INE563D01013,605
48083,RT-CH-140a.3a,,RT,RT-CH,RT-CH-140a,RT-CH-140a.3,Discussion and Analysis,,RT-CH-140a.3a,,INE563D01013,TEXT
48084,RT-CH-150a.1a,,RT,RT-CH,RT-CH-150a,RT-CH-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-CH-150a.1a,Metric tons (t),INE563D01013,210
48085,RT-CH-150a.1b,,RT,RT-CH,RT-CH-150a,RT-CH-150a.1,Quantitative,"Metric tons (t), Percentage (%)",RT-CH-150a.1b,Percentage (%),INE563D01013,0.07
48086,RT-CH-210a.1a,,RT,RT-CH,RT-CH-210a,RT-CH-210a.1,Discussion and Analysis,,RT-CH-210a.1a,,INE563D01013,TEXT
48087,RT-CH-320a.1a,,RT,RT-CH,RT-CH-320a,RT-CH-320a.1,Quantitative,Rate,RT-CH-320a.1a,Rate,INE563D01013,824
48088,RT-CH-320a.1b,,RT,RT-CH,RT-CH-320a,RT-CH-320a.1,Quantitative,Rate,RT-CH-320a.1b,Rate,INE563D01013,16
48089,RT-CH-320a.1c,,RT,RT-CH,RT-CH-320a,RT-CH-320a.1,Quantitative,Rate,RT-CH-320a.1c,Rate,INE563D01013,13
48090,RT-CH-320a.1d,,RT,RT-CH,RT-CH-320a,RT-CH-320a.1,Quantitative,Rate,RT-CH-320a.1d,Rate,INE563D01013,270
48091,RT-CH-320a.2a,,RT,RT-CH,RT-CH-320a,RT-CH-320a.2,Discussion and Analysis,,RT-CH-320a.2a,,INE563D01013,TEXT
48092,RT-CH-410a.1a,,RT,RT-CH,RT-CH-410a,RT-CH-410a.1,Quantitative,Reporting currency,RT-CH-410a.1a,Reporting currency,INE563D01013,22
48093,RT-CH-410b.1a,,RT,RT-CH,RT-CH-410b,RT-CH-410b.1,Quantitative,"Percentage (%) by revenue, Percentage (%)",RT-CH-410b.1a,Percentage (%) by revenue,INE563D01013,0.59
48094,RT-CH-410b.1b,,RT,RT-CH,RT-CH-410b,RT-CH-410b.1,Quantitative,"Percentage (%) by revenue, Percentage (%)",RT-CH-410b.1b,Percentage (%),INE563D01013,0.49
48095,RT-CH-410b.2a,,RT,RT-CH,RT-CH-410b,RT-CH-410b.2,Discussion and Analysis,,RT-CH-410b.2a,,INE563D01013,TEXT
48096,RT-CH-410c.1a,,RT,RT-CH,RT-CH-410c,RT-CH-410c.1,Quantitative,Percentage (%) by revenue,RT-CH-410c.1a,Percentage (%) by revenue,INE563D01013,0.65
48097,RT-CH-530a.1a,,RT,RT-CH,RT-CH-530a,RT-CH-530a.1,Discussion and Analysis,,RT-CH-530a.1a,,INE563D01013,TEXT
48098,RT-CH-540a.1a,,RT,RT-CH,RT-CH-540a,RT-CH-540a.1,Quantitative,"Number, Rate",RT-CH-540a.1a,Number,INE563D01013,168
48099,RT-CH-540a.1b,,RT,RT-CH,RT-CH-540a,RT-CH-540a.1,Quantitative,"Number, Rate",RT-CH-540a.1b,Number,INE563D01013,856
48100,RT-CH-540a.1c,,RT,RT-CH,RT-CH-540a,RT-CH-540a.1,Quantitative,"Number, Rate",RT-CH-540a.1c,Rate,INE563D01013,224
48101,RT-CH-540a.2a,,RT,RT-CH,RT-CH-540a,RT-CH-540a.2,Quantitative,Number,RT-CH-540a.2a,Number,INE563D01013,234
49123,EM-CO-000.Aa,,EM,EM-CO,EM-CO-000.A,,Quantitative,Million metric tons (Mt),EM-CO-000.Aa,Million metric tons (Mt),AU000000ABL8,450
49124,EM-CO-000.Ba,,EM,EM-CO,EM-CO-000.B,,Quantitative,Million metric tons (Mt),EM-CO-000.Ba,Million metric tons (Mt),AU000000ABL8,438
49125,EM-CO-110a.1a,,EM,EM-CO,EM-CO-110a,EM-CO-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",EM-CO-110a.1a,Metric tons (t) CO₂-e,AU000000ABL8,619
49126,EM-CO-110a.1b,,EM,EM-CO,EM-CO-110a,EM-CO-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",EM-CO-110a.1b,Percentage (%),AU000000ABL8,0.41
49127,EM-CO-110a.2a,,EM,EM-CO,EM-CO-110a,EM-CO-110a.2,Discussion and Analysis,,EM-CO-110a.2a,,AU000000ABL8,TEXT
49128,EM-CO-140a.1a,,EM,EM-CO,EM-CO-140a,EM-CO-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",EM-CO-140a.1a,Thousand cubic meters (m³),AU000000ABL8,367
49129,EM-CO-140a.1b,,EM,EM-CO,EM-CO-140a,EM-CO-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",EM-CO-140a.1b,Percentage (%),AU000000ABL8,0.66
49130,EM-CO-140a.1c,,EM,EM-CO,EM-CO-140a,EM-CO-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",EM-CO-140a.1c,Percentage (%),AU000000ABL8,0.17
49131,EM-CO-140a.2a,,EM,EM-CO,EM-CO-140a,EM-CO-140a.2,Quantitative,Number,EM-CO-140a.2a,Number,AU000000ABL8,403
49132,EM-CO-140a.2b,,EM,EM-CO,EM-CO-140a,EM-CO-140a.2,Quantitative,Number,EM-CO-140a.2b,Number,AU000000ABL8,703
49133,EM-CO-140a.2c,,EM,EM-CO,EM-CO-140a,EM-CO-140a.2,Quantitative,Number,EM-CO-140a.2c,Number,AU000000ABL8,999
49134,EM-CO-150a.1a,,EM,EM-CO,EM-CO-150a,EM-CO-150a.1,Quantitative,Number,EM-CO-150a.1a,Number,AU000000ABL8,811
49135,EM-CO-160a.1a,,EM,EM-CO,EM-CO-160a,EM-CO-160a.1,Discussion and Analysis,,EM-CO-160a.1a,,AU000000ABL8,TEXT
49136,EM-CO-160a.2a,,EM,EM-CO,EM-CO-160a,EM-CO-160a.2,Quantitative,Percentage (%),EM-CO-160a.2a,Percentage (%),AU000000ABL8,0.67
49137,EM-CO-160a.2b,,EM,EM-CO,EM-CO-160a,EM-CO-160a.2,Quantitative,Percentage (%),EM-CO-160a.2b,Percentage (%),AU000000ABL8,0.66
49138,EM-CO-160a.2c,,EM,EM-CO,EM-CO-160a,EM-CO-160a.2,Quantitative,Percentage (%),EM-CO-160a.2c,Percentage (%),AU000000ABL8,0.09
49139,EM-CO-160a.3a,,EM,EM-CO,EM-CO-160a,EM-CO-160a.3,Quantitative,Percentage (%),EM-CO-160a.3a,Percentage (%),AU000000ABL8,0.78
49140,EM-CO-160a.3b,,EM,EM-CO,EM-CO-160a,EM-CO-160a.3,Quantitative,Percentage (%),EM-CO-160a.3b,Percentage (%),AU000000ABL8,0.24
49141,EM-CO-210a.1a,,EM,EM-CO,EM-CO-210a,EM-CO-210a.1,Quantitative,Percentage (%),EM-CO-210a.1a,Percentage (%),AU000000ABL8,0.46
49142,EM-CO-210a.1b,,EM,EM-CO,EM-CO-210a,EM-CO-210a.1,Quantitative,Percentage (%),EM-CO-210a.1b,Percentage (%),AU000000ABL8,0.61
49143,EM-CO-210a.2a,,EM,EM-CO,EM-CO-210a,EM-CO-210a.2,Discussion and Analysis,,EM-CO-210a.2a,,AU000000ABL8,TEXT
49144,EM-CO-210b.1a,,EM,EM-CO,EM-CO-210b,EM-CO-210b.1,Discussion and Analysis,,EM-CO-210b.1a,,AU000000ABL8,TEXT
49145,EM-CO-210b.2a,,EM,EM-CO,EM-CO-210b,EM-CO-210b.2,Quantitative,"Number, Days",EM-CO-210b.2a,Number,AU000000ABL8,29
49146,EM-CO-210b.2b,,EM,EM-CO,EM-CO-210b,EM-CO-210b.2,Quantitative,"Number, Days",EM-CO-210b.2b,Days,AU000000ABL8,865
49147,EM-CO-310a.1a,,EM,EM-CO,EM-CO-310a,EM-CO-310a.1,Quantitative,Percentage (%),EM-CO-310a.1a,Percentage (%),AU000000ABL8,0
49148,EM-CO-310a.1b,,EM,EM-CO,EM-CO-310a,EM-CO-310a.1,Quantitative,Percentage (%),EM-CO-310a.1b,Percentage (%),AU000000ABL8,0.21
49149,EM-CO-310a.2a,,EM,EM-CO,EM-CO-310a,EM-CO-310a.2,Quantitative,"Number, Days",EM-CO-310a.2a,Number,AU000000ABL8,419
49150,EM-CO-310a.2b,,EM,EM-CO,EM-CO-310a,EM-CO-310a.2,Quantitative,"Number, Days",EM-CO-310a.2b,Days,AU000000ABL8,573
49151,EM-CO-310a.2c,,EM,EM-CO,EM-CO-310a,EM-CO-310a.2,Quantitative,"Number, Days",EM-CO-310a.2c,Number,AU000000ABL8,229
49152,EM-CO-310a.2d,,EM,EM-CO,EM-CO-310a,EM-CO-310a.2,Quantitative,"Number, Days",EM-CO-310a.2d,Days,AU000000ABL8,593
49153,EM-CO-310a.2e,,EM,EM-CO,EM-CO-310a,EM-CO-310a.2,Quantitative,"Number, Days",EM-CO-310a.2e,,AU000000ABL8,TEXT
49154,EM-CO-320a.1a,,EM,EM-CO,EM-CO-320a,EM-CO-320a.1,Quantitative,Rate,EM-CO-320a.1a,Rate,AU000000ABL8,683
49155,EM-CO-320a.1b,,EM,EM-CO,EM-CO-320a,EM-CO-320a.1,Quantitative,Rate,EM-CO-320a.1b,Rate,AU000000ABL8,338
49156,EM-CO-320a.1c,,EM,EM-CO,EM-CO-320a,EM-CO-320a.1,Quantitative,Rate,EM-CO-320a.1c,Rate,AU000000ABL8,525
49157,EM-CO-320a.2a,,EM,EM-CO,EM-CO-320a,EM-CO-320a.2,Discussion and Analysis,,EM-CO-320a.2a,,AU000000ABL8,TEXT
49158,EM-CO-420a.1a,,EM,EM-CO,EM-CO-420a,EM-CO-420a.1,Quantitative,Million metric tons (Mt),EM-CO-420a.1a,Million metric tons (Mt),AU000000ABL8,238
49159,EM-CO-420a.1b,,EM,EM-CO,EM-CO-420a,EM-CO-420a.1,Quantitative,Million metric tons (Mt),EM-CO-420a.1b,Million metric tons (Mt),AU000000ABL8,128
49160,EM-CO-420a.1c,,EM,EM-CO,EM-CO-420a,EM-CO-420a.1,Quantitative,Million metric tons (Mt),EM-CO-420a.1c,Million metric tons (Mt),AU000000ABL8,845
49161,EM-CO-420a.1d,,EM,EM-CO,EM-CO-420a,EM-CO-420a.1,Quantitative,Million metric tons (Mt),EM-CO-420a.1d,Million metric tons (Mt),AU000000ABL8,458
49162,EM-CO-420a.1e,,EM,EM-CO,EM-CO-420a,EM-CO-420a.1,Quantitative,Million metric tons (Mt),EM-CO-420a.1e,Million metric tons (Mt),AU000000ABL8,924
49163,EM-CO-420a.1f,,EM,EM-CO,EM-CO-420a,EM-CO-420a.1,Quantitative,Million metric tons (Mt),EM-CO-420a.1f,Million metric tons (Mt),AU000000ABL8,748
49164,EM-CO-420a.2a,,EM,EM-CO,EM-CO-420a,EM-CO-420a.2,Quantitative,Metric tons (t) CO₂-e,EM-CO-420a.2a,Metric tons (t) CO₂-e,AU000000ABL8,329
49165,EM-CO-420a.3a,,EM,EM-CO,EM-CO-420a,EM-CO-420a.3,Discussion and Analysis,,EM-CO-420a.3a,,AU000000ABL8,TEXT
52680,FN-CB-000.Aa,,FN,FN-CB,FN-CB-000.A,,Quantitative,"Number, Reporting currency",FN-CB-000.Aa,Number,GB00B194YY14,600
52681,FN-CB-000.Ab,,FN,FN-CB,FN-CB-000.A,,Quantitative,"Number, Reporting currency",FN-CB-000.Ab,Reporting currency,GB00B194YY14,808
52682,FN-CB-000.Ac,,FN,FN-CB,FN-CB-000.A,,Quantitative,"Number, Reporting currency",FN-CB-000.Ac,Number,GB00B194YY14,867
52683,FN-CB-000.Ad,,FN,FN-CB,FN-CB-000.A,,Quantitative,"Number, Reporting currency",FN-CB-000.Ad,Reporting currency,GB00B194YY14,767
52684,FN-CB-000.Ba,,FN,FN-CB,FN-CB-000.B,,Quantitative,"Number, Reporting currency",FN-CB-000.Ba,Number,GB00B194YY14,145
52685,FN-CB-000.Bb,,FN,FN-CB,FN-CB-000.B,,Quantitative,"Number, Reporting currency",FN-CB-000.Bb,Reporting currency,GB00B194YY14,151
52686,FN-CB-000.Bc,,FN,FN-CB,FN-CB-000.B,,Quantitative,"Number, Reporting currency",FN-CB-000.Bc,Number,GB00B194YY14,335
52687,FN-CB-000.Bd,,FN,FN-CB,FN-CB-000.B,,Quantitative,"Number, Reporting currency",FN-CB-000.Bd,Reporting currency,GB00B194YY14,760
52688,FN-CB-000.Be,,FN,FN-CB,FN-CB-000.B,,Quantitative,"Number, Reporting currency",FN-CB-000.Be,Number,GB00B194YY14,709
52689,FN-CB-000.Bf,,FN,FN-CB,FN-CB-000.B,,Quantitative,"Number, Reporting currency",FN-CB-000.Bf,Reporting currency,GB00B194YY14,383
52690,FN-CB-230a.1a,,FN,FN-CB,FN-CB-230a,FN-CB-230a.1,Quantitative,"Number, Percentage (%)",FN-CB-230a.1a,Number,GB00B194YY14,616
52691,FN-CB-230a.1b,,FN,FN-CB,FN-CB-230a,FN-CB-230a.1,Quantitative,"Number, Percentage (%)",FN-CB-230a.1b,Percentage (%),GB00B194YY14,0.75
52692,FN-CB-230a.1c,,FN,FN-CB,FN-CB-230a,FN-CB-230a.1,Quantitative,"Number, Percentage (%)",FN-CB-230a.1c,Number,GB00B194YY14,474
52693,FN-CB-230a.1d,,FN,FN-CB,FN-CB-230a,FN-CB-230a.1,Quantitative,"Number, Percentage (%)",FN-CB-230a.1d,,GB00B194YY14,TEXT
52694,FN-CB-230a.2a,,FN,FN-CB,FN-CB-230a,FN-CB-230a.2,Discussion and Analysis,,FN-CB-230a.2a,,GB00B194YY14,TEXT
52695,FN-CB-240a.1a,,FN,FN-CB,FN-CB-240a,FN-CB-240a.1,Quantitative,"Number, Reporting currency",FN-CB-240a.1a,Number,GB00B194YY14,645
52696,FN-CB-240a.1b,,FN,FN-CB,FN-CB-240a,FN-CB-240a.1,Quantitative,"Number, Reporting currency",FN-CB-240a.1b,Reporting currency,GB00B194YY14,482
52697,FN-CB-240a.1c,,FN,FN-CB,FN-CB-240a,FN-CB-240a.1,Quantitative,"Number, Reporting currency",FN-CB-240a.1c,,GB00B194YY14,TEXT
52698,FN-CB-240a.2a,,FN,FN-CB,FN-CB-240a,FN-CB-240a.2,Quantitative,"Number, Reporting currency",FN-CB-240a.2a,Number,GB00B194YY14,565
52699,FN-CB-240a.2b,,FN,FN-CB,FN-CB-240a,FN-CB-240a.2,Quantitative,"Number, Reporting currency",FN-CB-240a.2b,Reporting currency,GB00B194YY14,356
52700,FN-CB-240a.3a,,FN,FN-CB,FN-CB-240a,FN-CB-240a.3,Quantitative,Number,FN-CB-240a.3a,Number,GB00B194YY14,530
52701,FN-CB-240a.4a,,FN,FN-CB,FN-CB-240a,FN-CB-240a.4,Quantitative,Number,FN-CB-240a.4a,Number,GB00B194YY14,540
52702,FN-CB-240a.4b,,FN,FN-CB,FN-CB-240a,FN-CB-240a.4,Quantitative,Number,FN-CB-240a.4b,,GB00B194YY14,TEXT
52703,FN-CB-410a.1a,,FN,FN-CB,FN-CB-410a,FN-CB-410a.1,Quantitative,Reporting currency,FN-CB-410a.1a,Reporting currency,GB00B194YY14,680
52704,FN-CB-410a.2a,,FN,FN-CB,FN-CB-410a,FN-CB-410a.2,Discussion and Analysis,,FN-CB-410a.2a,,GB00B194YY14,TEXT
52705,FN-CB-510a.1a,,FN,FN-CB,FN-CB-510a,FN-CB-510a.1,Quantitative,Reporting currency,FN-CB-510a.1a,Reporting currency,GB00B194YY14,686
52706,FN-CB-510a.1b,,FN,FN-CB,FN-CB-510a,FN-CB-510a.1,Quantitative,Reporting currency,FN-CB-510a.1b,,GB00B194YY14,TEXT
52707,FN-CB-510a.2a,,FN,FN-CB,FN-CB-510a,FN-CB-510a.2,Discussion and Analysis,,FN-CB-510a.2a,,GB00B194YY14,TEXT
52708,FN-CB-550a.1a,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1a,Basis points,GB00B194YY14,652
52709,FN-CB-550a.1b,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1b,Basis points,GB00B194YY14,607
52710,FN-CB-550a.1c,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1c,Basis points (bps),GB00B194YY14,427
52711,FN-CB-550a.1d,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1d,Basis points (bps),GB00B194YY14,347
52712,FN-CB-550a.1e,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1e,Basis points (bps),GB00B194YY14,310
52713,FN-CB-550a.1f,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1f,Basis points (bps),GB00B194YY14,363
52714,FN-CB-550a.1g,,FN,FN-CB,FN-CB-550a,FN-CB-550a.1,Quantitative,Basis points (bps),FN-CB-550a.1g,,GB00B194YY14,TEXT
52715,FN-CB-550a.2a,,FN,FN-CB,FN-CB-550a,FN-CB-550a.2,Discussion and Analysis,,FN-CB-550a.2a,,GB00B194YY14,TEXT
54840,EM-CM-000.Aa,,EM,EM-CM,EM-CM-000.A,,Quantitative,Metric tons (t),EM-CM-000.Aa,Metric tons (t),MYL7086OO001,457
54841,EM-CM-110a.1a,,EM,EM-CM,EM-CM-110a,EM-CM-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",EM-CM-110a.1a,Metric tons (t) CO₂-e,MYL7086OO001,259
54842,EM-CM-110a.1b,,EM,EM-CM,EM-CM-110a,EM-CM-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",EM-CM-110a.1b,Percentage (%),MYL7086OO001,0.95
54843,EM-CM-110a.2a,,EM,EM-CM,EM-CM-110a,EM-CM-110a.2,Discussion and Analysis,,EM-CM-110a.2a,,MYL7086OO001,TEXT
54844,EM-CM-120a.1a,,EM,EM-CM,EM-CM-120a,EM-CM-120a.1,Quantitative,Metric tons (t),EM-CM-120a.1a,Metric tons (t),MYL7086OO001,524
